abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
21940,2025-01-16 05:40:00,65.65079625844442,1484.4726174911325,714.5808833333333,10166.18315588058,10799.99999999,633.8168441094193,True,False
22920,2025-01-16 22:00:00,32.65279618602198,1387.377796176022,521.3916666666667,2133.130587774545,2883.130587765545,749.999999991,False,True
22960,2025-01-16 22:40:00,16.537979947473893,1417.4923132708072,567.621,4262.300298968848,5012.300298959848,749.999999991,False,True
22970,2025-01-16 22:50:00,27.497726703974074,1442.5278933606407,581.6968333333333,5012.300298959848,5762.300298950848,749.999999991,False,True
22980,2025-01-16 23:00:00,12.728651920519944,1438.20365191052,592.1416666666667,5762.300298950848,6512.300298941847,749.999999991,False,True
23060,2025-01-17 00:20:00,48.86169778166481,1281.8121311049981,399.6171,9366.054819176632,10116.054819167632,749.999999991,False,True
24360,2025-01-17 22:00:00,22.023357290344613,1256.011690613678,400.655,1700.5302612971034,2450.5302612881032,749.999999991,False,True
24390,2025-01-17 22:30:00,22.523899848105195,1235.2105665047718,379.3533333333333,3170.979379324511,3920.979379315511,749.999999991,False,True
24400,2025-01-17 22:40:00,22.456586263626143,1240.8370195869595,385.0471,3920.979379315511,4670.979379306511,749.999999991,False,True
24440,2025-01-17 23:20:00,11.705298422320531,1275.5203484123206,430.48171666666667,6095.843737765445,6845.843737756445,749.999999991,False,True
24500,2025-01-18 00:20:00,20.836180751724434,1302.1705807417245,448.0010666666667,8995.597400905031,9745.597400896031,749.999999991,False,True
24820,2025-01-18 05:40:00,355.44568209640556,1411.5684900111778,542.8813666666666,10338.082702867705,10799.999999991,461.91729712329504,True,False
25850,2025-01-18 22:50:00,12.321100987832203,1246.7108676444989,401.0564333333333,5159.567622534533,5909.567622525533,749.999999991,False,True
25860,2025-01-18 23:00:00,27.2507330440635,1257.4140663673968,396.83,5909.567622525533,6659.5676225165325,749.999999991,False,True
25890,2025-01-18 23:30:00,4.321440463780156,1263.4247737871135,425.77,7373.333438753761,8123.333438743761,749.99999999,False,True
25900,2025-01-18 23:40:00,15.791998783334513,1266.7688154400012,417.64348333333334,8123.333438743761,8873.33343873476,749.999999991,False,True
25940,2025-01-19 00:20:00,37.058735829823256,1467.0661358198233,596.6740666666667,9285.384411542062,10035.384411533061,749.999999991,False,True
26260,2025-01-19 05:40:00,145.96848568233077,1515.0903173679799,656.88555,10158.987346473916,10799.999999991,641.0126535170842,True,False
26270,2025-01-19 05:50:00,19.523894047128962,752.5785940552292,733.0546999999999,10799.999999991,10799.999999991,0.0,True,False
27250,2025-01-19 22:10:00,2.9600490438860936,1378.6460657005528,542.3526833333333,2668.832950944482,3418.832950935482,749.999999991,False,True
27320,2025-01-19 23:20:00,2.51311488856276,1427.9038315452294,592.0573833333333,6344.187432514924,7094.187432505923,749.999999991,False,True
27340,2025-01-19 23:40:00,48.756852137756134,1436.4425354610894,554.3523499999999,7830.231398788126,8580.231398779126,749.999999991,False,True
27380,2025-01-20 00:20:00,21.67633971547024,1461.2793897054703,606.2697166666667,9267.007360006539,10017.007359996538,749.99999999,False,True
28680,2025-01-20 22:00:00,11.153007335101158,1396.4480073251011,551.9616666666666,2311.919569975178,3061.919569965178,749.99999999,False,True
28690,2025-01-20 22:10:00,21.482866138420597,1397.6001827950872,542.7839833333333,3061.919569965178,3811.9195699551783,749.99999999,False,True
28730,2025-01-20 22:50:00,55.87170862004279,1437.8424252767095,548.6373833333333,5266.7883222251185,6016.788322215119,749.99999999,False,True
